id,ln_wage,age,age2,exper,exper2,educ,female,high,bachelor,secondary,vocational,other,private,no_jobs,age_drop,no_empl,f_work,m_work
159,9.8521938,35,1225,23,529,13,1,0,0,1,0,0,1,5,16,100 - 199,,1
160,6.0330863,47,2209,30,900,13,0,0,0,1,0,0,1,3,16,75,0,1
161,6.8023949,30,900,14,196,13,0,0,0,1,0,0,1,3,16,750,1,1
162,7.5368972,29,841,7,49,16,0,0,1,0,0,0,0,2,18,37,1,1
163,7.284821,23,529,1,1,16,1,0,1,0,0,0,0,2,18,150,1,1
164,6.8057227,33,1089,19,361,10,0,0,0,0,0,1,1,7,14,37,1,1
165,9.6485949,31,961,15,225,13,0,0,0,1,0,0,1,5,16,150,1,1
166,4.0073333,17,289,1,1,13,0,0,0,1,0,0,1,2,16,75,1,1
167,5.2983174,18,324,1,1,10,1,0,0,0,0,1,1,3,16,75,0,0
168,7.8240461,42,1764,21,441,16,1,0,1,0,0,0,0,6,18,350,1,0
169,7.7832241,50,2500,33,1089,16,1,0,1,0,0,0,0,8,16,75,1,1
170,6.4769726,26,676,9,81,13,1,0,0,1,0,0,1,7,16,100 - 199,1,1
171,7.6962128,65,4225,48,2304,13,0,0,0,1,0,0,1,5,18,37,1,1
172,10.021271,32,1024,14,196,13,0,0,0,1,0,0,1,2,16,150,1,1
173,10.621327,29,841,8,64,16,0,0,1,0,0,0,0,2,18,350,,0
174,7.1701198,34,1156,16,256,13,1,0,0,1,0,0,1,2,16,75,1,1
175,7.8898339,36,1296,9,81,19,0,1,0,0,0,0,0,4,18,75,1,0
176,8.0063677,48,2304,31,961,10,0,0,0,0,0,1,1,6,16,17,1,1
177,5.2983174,44,1936,29,841,10,0,0,0,0,0,1,1,2,16,17,0,0
178,7.5234814,43,1849,17,289,16,0,0,1,0,0,0,1,4,16,350,1,1
179,4.6151204,16,256,1,1,13,0,0,0,1,0,0,1,2,16,100 - 199,,
180,4.6051702,16,256,1,1,13,1,0,0,1,0,0,1,3,16,17,,
181,5.1929569,16,256,1,1,13,0,0,0,1,0,0,1,2,16,350,,
182,5.4161005,39,1521,15,225,13,0,0,0,1,0,0,1,5,16,1000,,1
183,7.0246491,53,2809,38,1444,13,1,0,0,1,0,0,1,3,16,75,1,0
184,8.2940493,30,900,6,36,19,1,1,0,0,0,0,0,2,17,1000,1,1
185,5.5683446,45,2025,28,784,13,1,0,0,1,0,0,0,5,17,37,1,1
186,7.2793188,39,1521,24,576,13,1,0,0,1,0,0,0,5,16,1000,1,1
187,7.6009026,26,676,3,9,19,1,1,0,0,0,0,0,2,18,1000,1,1
188,7.4838066,25,625,8,64,15,1,0,0,0,1,0,0,4,16,350,1,1
189,10.126631,44,1936,27,729,16,0,0,1,0,0,0,0,4,16,1000,1,1
190,6.4769726,51,2601,37,1369,13,0,0,0,1,0,0,1,4,15,350,1,1
191,10.081634,58,3364,43,1849,13,1,0,0,1,0,0,1,5,16,100 - 199,1,0
192,6.2146082,26,676,2,4,16,0,0,1,0,0,0,1,2,16,100 - 199,1,0
193,4.5538769,17,289,2,4,13,0,0,0,1,0,0,1,2,16,1 - 2,1,1
194,6.1092477,31,961,13,169,13,0,0,0,1,0,0,1,8,16,350,1,1
195,6.196444,41,1681,26,676,13,0,0,0,1,0,0,1,2,16,100 - 199,1,1
196,7.6009026,40,1600,22,484,13,0,0,0,1,0,0,1,2,16,150,1,0
197,6.8669333,16,256,1,1,13,0,0,0,1,0,0,1,2,16,17,,
198,8.7795572,25,625,8,64,13,1,0,0,1,0,0,1,4,16,350,1,1
199,4.6051702,16,256,1,1,13,1,0,0,1,0,0,1,2,16,100 - 199,,
200,7.7832241,45,2025,30,900,16,0,0,1,0,0,0,1,2,16,150,1,1
201,8.8536654,42,1764,25,625,13,0,0,0,1,0,0,1,2,17,150,1,1
202,7.2793188,48,2304,33,1089,10,1,0,0,0,0,1,1,2,16,75,1,1
203,5.6347895,25,625,9,81,13,0,0,0,1,0,0,1,6,16,17,,0
204,10.819778,28,784,10,100,13,0,0,0,1,0,0,0,3,18,1000,1,1
205,6.2915692,26,676,8,64,19,1,1,0,0,0,0,1,4,16,37,1,1
206,7.8240461,33,1089,18,324,13,0,0,0,1,0,0,1,6,16,75,1,1
