id,ln_wage,age,age2,exper,exper2,educ,female,high,bachelor,secondary,vocational,other,private,no_jobs,age_drop,no_empl,f_work,m_work
279,7.7097569,54,2916,38,1444,13,0,0,0,1,0,0,1,4,16,17,1,1
280,9.392662,25,625,3,9,19,1,1,0,0,0,0,0,2,18,75,1,1
281,4.1896548,22,484,4,16,13,1,0,0,1,0,0,1,3,16,17,,0
282,7.5579948,27,729,9,81,16,0,0,1,0,0,0,0,8,18,1000,1,1
283,7.9373746,53,2809,4,16,19,0,1,0,0,0,0,1,2,19,37,0,1
284,5.521461,42,1764,26,676,13,0,0,0,1,0,0,1,4,16,100 - 199,1,1
285,10.373491,30,900,8,64,16,0,0,1,0,0,0,0,2,18,1000,1,0
286,5.3798971,55,3025,37,1369,10,0,0,0,0,0,1,1,5,16,17,1,0
287,7.3132205,30,900,14,196,16,0,0,1,0,0,0,1,2,16,37,,1
288,7.0900769,28,784,10,100,10,0,0,0,0,0,1,1,2,18,1000,1,1
289,7.6333694,53,2809,32,1024,16,1,0,1,0,0,0,0,7,18,1000,1,1
290,5.7037826,57,3249,27,729,10,0,0,0,0,0,1,1,2,16,17,1,0
291,10.293839,27,729,5,25,15,1,0,0,0,1,0,0,3,18,37,1,1
292,7.0900769,19,361,0,0,13,1,0,0,1,0,0,1,2,18,150,1,1
293,7.3132205,26,676,4,16,16,1,0,1,0,0,0,0,3,18,1000,1,1
294,7.7406645,46,2116,29,841,13,0,0,0,1,0,0,0,4,16,17,1,1
295,9.9522781,51,2601,35,1225,13,1,0,0,1,0,0,0,8,16,75,1,1
296,9.8521938,51,2601,35,1225,13,0,0,0,1,0,0,1,2,16,17,1,1
297,4.0073333,16,256,0,0,13,1,0,0,1,0,0,1,2,16,750,,
298,5.0751739,17,289,0,0,13,0,0,0,1,0,0,1,2,16,17,,
299,6.4769726,19,361,1,1,13,0,0,0,1,0,0,1,2,16,750,1,0
300,8.4118328,54,2916,35,1225,10,0,0,0,0,0,1,1,4,16,750,1,1
301,5.5984221,47,2209,30,900,13,0,0,0,1,0,0,1,4,15,37,0,1
302,6.1569791,40,1600,24,576,13,1,0,0,1,0,0,0,4,16,37,1,1
303,5.2983174,19,361,2,4,13,0,0,0,1,0,0,1,3,16,350,,0
304,6.9994226,25,625,5,25,10,0,0,0,0,0,1,1,7,13,100 - 199,1,0
305,6.2065759,46,2116,30,900,13,0,0,0,1,0,0,1,3,16,150,1,1
306,10.778956,37,1369,15,225,19,1,1,0,0,0,0,1,2,19,1000,1,1
307,7.2442274,52,2704,34,1156,13,1,0,0,1,0,0,1,6,17,100 - 199,1,0
308,7.2442274,37,1369,18,324,15,1,0,0,0,1,0,0,4,18,75,1,1
309,7.3132205,22,484,4,16,16,0,0,1,0,0,0,1,2,16,350,1,1
310,10.518673,28,784,4,16,15,1,0,0,0,1,0,0,2,18,150,1,1
311,10.043249,27,729,3,9,19,0,1,0,0,0,0,1,2,16,100 - 199,0,0
312,9.4727049,43,1849,21,441,13,1,0,0,1,0,0,1,6,16,75,1,1
313,7.5496092,43,1849,27,729,13,0,0,0,1,0,0,1,6,16,100 - 199,1,1
314,10.915089,44,1936,27,729,13,0,0,0,1,0,0,1,4,16,750,1,1
315,9.9998426,21,441,0,0,16,0,0,1,0,0,0,0,2,18,75,1,1
316,10.878047,43,1849,25,625,13,0,0,0,1,0,0,0,2,17,1000,1,1
317,7.1147695,24,576,6,36,13,0,0,0,1,0,0,1,2,17,350,1,1
318,7.6962128,27,729,5,25,16,1,0,1,0,0,0,0,2,16,37,1,1
319,7.5496092,33,1089,17,289,16,1,0,1,0,0,0,1,7,17,750,1,0
320,9.9034872,23,529,0,0,16,1,0,1,0,0,0,1,2,16,37,1,1
321,10.203592,47,2209,29,841,13,0,0,0,1,0,0,1,2,18,150,1,0
322,9.7981272,23,529,7,49,19,0,1,0,0,0,0,1,2,16,17,1,1
323,9.9758081,21,441,0,0,16,0,0,1,0,0,0,1,2,16,750,1,1
324,5.0751739,25,625,10,100,13,1,0,0,1,0,0,1,5,16,17,0,1
325,7.9373746,47,2209,24,576,16,0,0,1,0,0,0,0,2,19,75,1,1
326,5.8888779,26,676,9,81,13,0,0,0,1,0,0,1,2,13,150,1,
327,2.3025851,48,2304,21,441,19,0,1,0,0,0,0,1,3,15,17,1,1
328,7.0900769,23,529,1,1,16,0,0,1,0,0,0,0,3,18,350,1,1
329,5.521461,44,1936,28,784,13,1,0,0,1,0,0,1,5,15,100 - 199,1,1
330,5.9864521,28,784,9,81,16,1,0,1,0,0,0,0,8,14,75,1,1
331,10.341743,29,841,1,1,19,1,1,0,0,0,0,0,2,18,75,1,1
332,5.9889612,52,2704,36,1296,13,0,0,0,1,0,0,1,3,16,750,1,1
333,8.3204479,29,841,6,36,19,1,1,0,0,0,0,0,4,18,1000,1,1
334,9.7981272,26,676,3,9,16,1,0,1,0,0,0,1,3,18,750,1,
335,7.972466,26,676,9,81,16,0,0,1,0,0,0,0,2,16,1000,1,1
336,10.1849,26,676,4,16,16,1,0,1,0,0,0,1,3,16,1000,1,1
337,10.126631,28,784,11,121,13,0,0,0,1,0,0,0,2,16,1000,1,1
338,7.1701198,41,1681,25,625,13,0,0,0,1,0,0,1,5,16,100 - 199,1,0
339,7.8240461,49,2401,30,900,16,0,0,1,0,0,0,0,2,18,150,1,1
340,8.2160883,50,2500,30,900,16,0,0,1,0,0,0,0,2,18,1000,1,1
341,7.8240461,47,2209,26,676,16,0,0,1,0,0,0,1,3,17,37,1,1
342,10.085809,28,784,9,81,13,0,0,0,1,0,0,1,2,16,75,1,1
343,5.57973,25,625,8,64,13,0,0,0,1,0,0,0,3,16,1000,1,1
344,9.4334841,60,3600,42,1764,16,0,0,1,0,0,0,1,9,18,17,1,
345,5.9914646,25,625,7,49,16,1,0,1,0,0,0,0,5,18,75,1,0
346,9.8521938,26,676,7,49,13,1,0,0,1,0,0,0,3,16,1000,1,1
347,7.0942349,28,784,10,100,13,0,0,0,1,0,0,1,4,16,750,1,1
348,7.8240461,51,2601,36,1296,13,0,0,0,1,0,0,1,4,16,1000,1,1
349,4.9416423,16,256,0,0,13,1,0,0,1,0,0,1,2,16,17,,
350,7.2442274,33,1089,16,256,16,1,0,1,0,0,0,0,2,16,1000,,1
351,10.106428,52,2704,35,1225,13,1,0,0,1,0,0,1,2,17,17,1,1
352,8.6125031,39,1521,17,289,19,0,1,0,0,0,0,1,6,18,1000,1,0
353,6.2859979,16,256,1,1,13,0,0,0,1,0,0,1,2,16,150,,
354,7.9373746,38,1444,22,484,10,0,0,0,0,0,1,1,7,16,150,,1
355,2.0794415,25,625,0,0,19,1,1,0,0,0,0,1,3,18,17,1,0
356,6.84375,24,576,3,9,16,0,0,1,0,0,0,0,2,17,17,1,1
357,9.9034872,54,2916,35,1225,16,1,0,1,0,0,0,1,4,16,17,1,0
358,9.7111158,26,676,8,64,13,0,0,0,1,0,0,1,5,16,350,1,1
359,7.5496092,38,1444,15,225,19,0,1,0,0,0,0,1,4,16,350,,0
